"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:53 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","0","29","packB","1","840","15032992","273068382","7140","0","0","0","0","844","0","0"
"FAPP-cpupa","Thread","0","0","30","packB","1","840","15087104","273696482","7140","0","0","0","0","844","0","0"
"FAPP-cpupa","Thread","0","0","31","packB","1","840","15074720","273589943","7140","0","0","0","0","844","0","0"
"FAPP-cpupa","Thread","0","0","32","packB","1","840","15073920","273421553","7140","0","0","0","210","1054","0","0"
"FAPP-cpupa","Thread","0","0","33","packB","1","840","15101920","273550537","7140","0","0","0","0","844","0","0"
"FAPP-cpupa","Thread","0","0","34","packB","1","840","15094304","273704724","7140","0","0","0","0","844","0","0"
"FAPP-cpupa","Thread","0","0","35","packB","1","840","14997632","271628278","7140","0","0","0","0","844","0","0"
"FAPP-cpupa","Thread","0","0","36","packB","1","840","15065984","273187470","7140","0","0","0","210","1058","0","0"
"FAPP-cpupa","Thread","0","0","37","packB","1","840","15094720","273637636","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","38","packB","1","840","15142496","274438051","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","39","packB","1","840","15142432","274991465","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","40","packB","1","840","15105984","273858180","7140","0","0","0","210","1058","0","0"
"FAPP-cpupa","Thread","0","0","41","packB","1","840","15098464","273448610","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","42","packB","1","840","15128512","274250614","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","43","packB","1","840","15108032","273609874","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","44","packB","1","840","15028928","272393987","7140","0","0","0","210","1058","0","0"
"FAPP-cpupa","Thread","0","0","45","packB","1","840","15139712","274664558","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","46","packB","1","840","15105504","273183862","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","47","packB","1","840","15095456","273337137","7140","0","0","0","0","848","0","0"
