"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:17 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.869744","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.092703","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.124380","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0240","0x0241","0x0330","0x0274","0x01a4","0x01b4","0x01a5","0x01b5"
"FAPP-cpupa","Thread","0","0","0","kernel","1","840","11972512","212006562","112686052","112497403","281664021","1248506","129015057","2042172986","127139005","2027093674"
"FAPP-cpupa","Thread","0","0","1","kernel","1","840","11973792","211970656","112992670","112779039","281655889","1246537","128980816","2041609648","127106645","2026574910"
"FAPP-cpupa","Thread","0","0","2","kernel","1","840","12011104","212409198","112767155","112748126","281796267","1281045","129012495","2042086144","127114766","2026702900"
"FAPP-cpupa","Thread","0","0","3","kernel","1","840","12053568","212661752","112466460","112507551","281871463","1390281","129014970","2042150924","127100431","2026467880"
"FAPP-cpupa","Thread","0","0","4","kernel","1","840","11989856","211487087","113171116","113353815","281211570","1484981","128976837","2041616286","127127509","2026925936"
"FAPP-cpupa","Thread","0","0","5","kernel","1","840","12110272","212226453","112604414","113271409","278791872","1412284","128990301","2041801800","127123139","2026863880"
"FAPP-cpupa","Thread","0","0","6","kernel","1","840","11931584","210676592","113052666","113420474","281291048","1572170","128981902","2041659292","127115004","2026741416"
"FAPP-cpupa","Thread","0","0","7","kernel","1","840","12075584","212385489","112914509","113492748","280357119","1502891","128969767","2041426000","127097753","2026448228"
"FAPP-cpupa","Thread","0","0","8","kernel","1","840","12036576","212346410","113029816","113427373","281401798","1514595","128962796","2041316664","127123956","2026861898"
"FAPP-cpupa","Thread","0","0","9","kernel","1","840","12114208","213393851","113004099","113516556","280339625","1468565","128979194","2041573546","127104247","2026549258"
"FAPP-cpupa","Thread","0","0","10","kernel","1","840","12081184","212868089","113188282","113769737","280145282","1459014","129005285","2042003308","127117713","2026776838"
"FAPP-cpupa","Thread","0","0","11","kernel","1","840","12147392","214158605","112817161","113500545","279540279","1427809","128971325","2041427638","127085624","2026242062"
"FAPP-cpupa","Thread","0","0","12","kernel","1","840","11499904","201792227","110996941","111454192","239522049","1440444","128897360","2040237026","127211653","2028249558"
"FAPP-cpupa","Thread","0","0","13","kernel","1","840","11543424","202544032","111281225","111869442","239758157","1381627","128937607","2040916146","127168906","2027587282"
"FAPP-cpupa","Thread","0","0","14","kernel","1","840","11530208","202112183","111085451","111841856","239608741","1479714","128958196","2041276674","127174772","2027688482"
"FAPP-cpupa","Thread","0","0","15","kernel","1","840","11550784","202583637","111135276","111855160","239768811","1555943","128934879","2040853440","127180626","2027762306"
"FAPP-cpupa","Thread","0","0","16","kernel","1","840","11598560","203000993","111061317","111974569","239740521","1431706","128931120","2040553592","127167612","2026852858"
"FAPP-cpupa","Thread","0","0","17","kernel","1","840","11551360","202714142","111191025","111674136","239791488","1368510","128941858","2040725794","127184054","2027140053"
"FAPP-cpupa","Thread","0","0","18","kernel","1","840","11575360","202859236","110881789","111754713","239753576","1480877","128925193","2040420331","127155706","2026669852"
"FAPP-cpupa","Thread","0","0","19","kernel","1","840","11537024","202502873","110897493","111837696","239683768","1478063","128911143","2040208004","127171957","2026925189"
"FAPP-cpupa","Thread","0","0","20","kernel","1","840","11553440","202414804","110634514","111590169","239639498","1470543","128898103","2039977591","127204123","2027423065"
"FAPP-cpupa","Thread","0","0","21","kernel","1","840","11577888","202432790","110764881","111754840","239374001","1388845","128914607","2040246255","127179226","2027039661"
"FAPP-cpupa","Thread","0","0","22","kernel","1","840","11705824","202982859","110458127","111566147","231303515","1478177","128934190","2040601562","127192393","2027258146"
"FAPP-cpupa","Thread","0","0","23","kernel","1","840","11610880","202731257","110764779","111770655","238310192","1361000","128908821","2040164143","127168754","2026851455"
