"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:28 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.913927","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091891","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123427","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0185","0x0182","0x0183","0x0180","0x0181","0x0187","0x0188","0x018a"
"FAPP-cpupa","Thread","0","0","36","kernel","1","840","11690976","204557207","27814831","36321228","9913731","9604176","7540513","39","0","1821805"
"FAPP-cpupa","Thread","0","0","37","kernel","1","840","11668000","204314822","26991145","36170610","9282796","9288279","6964780","127","0","1867004"
"FAPP-cpupa","Thread","0","0","38","kernel","1","840","11709248","204947062","27854289","35998455","9747406","10156608","7738641","66","0","1775636"
"FAPP-cpupa","Thread","0","0","39","kernel","1","840","11624608","203688094","29032916","32510320","9716020","12696893","8752534","186","0","1290991"
"FAPP-cpupa","Thread","0","0","40","kernel","1","840","11655776","204436398","29698367","33380075","10272566","12330031","8799043","117","0","1382667"
"FAPP-cpupa","Thread","0","0","41","kernel","1","840","11688480","204931588","28135095","37109575","10499257","9755752","6908434","97","0","1712869"
"FAPP-cpupa","Thread","0","0","42","kernel","1","840","11672704","204442997","27762231","38046129","10767174","8544322","6291975","3","0","1814052"
"FAPP-cpupa","Thread","0","0","43","kernel","1","840","11679552","204712792","28231664","38508927","11180944","8914853","6367308","78","0","1740871"
"FAPP-cpupa","Thread","0","0","44","kernel","1","840","11702208","204957534","28823729","37922446","11624564","9034175","6779628","2","0","1686998"
"FAPP-cpupa","Thread","0","0","45","kernel","1","840","11674048","204448037","28958495","36457589","11136517","10339931","7183618","33","0","1509449"
"FAPP-cpupa","Thread","0","0","46","kernel","1","840","11727808","205347809","28691023","38216107","11761233","8921028","6300390","13","0","1639423"
"FAPP-cpupa","Thread","0","0","47","kernel","1","840","11784032","206054360","28782826","39916368","11748269","8645161","6547262","30","0","1792456"
"FAPP-cpupa","Process","0","0","-","packB","1","40320","724073568","13131291118","878842648","1469692825","131571673","8116123656","238152289","0","55631630","210635"
"FAPP-cpupa","Thread","0","0","0","packB","1","840","14951520","272150047","18719864","32646076","3016913","107412692","5542981","0","4058605","5473"
"FAPP-cpupa","Thread","0","0","1","packB","1","840","15008128","272886674","17354599","32453434","2355177","109347745","5060144","0","3832087","3778"
"FAPP-cpupa","Thread","0","0","2","packB","1","840","14986720","272601367","17605447","29955458","2547273","114323855","5081179","0","3650237","3780"
"FAPP-cpupa","Thread","0","0","3","packB","1","840","15007200","272682796","17572630","28466489","2844912","118287297","4676647","0","3225251","5458"
"FAPP-cpupa","Thread","0","0","4","packB","1","840","15023136","273020030","17627141","41065602","2559038","100744756","5179830","0","4860976","3789"
"FAPP-cpupa","Thread","0","0","5","packB","1","840","14933120","271233573","17688811","38963962","3010401","104470282","4584851","0","4634775","3779"
"FAPP-cpupa","Thread","0","0","6","packB","1","840","14985504","272116731","17606361","37754002","2671775","104392843","5077868","0","4053910","5456"
"FAPP-cpupa","Thread","0","0","7","packB","1","840","14982688","271882245","17449443","38946818","2856050","106972849","4528771","0","3754132","3779"
"FAPP-cpupa","Thread","0","0","8","packB","1","840","15008704","272452404","17976467","42165525","3089642","96782269","4876795","0","5985648","3789"
"FAPP-cpupa","Thread","0","0","9","packB","1","840","14977408","271866082","17680037","43605602","2870287","102235011","4537504","0","4360783","3778"
"FAPP-cpupa","Thread","0","0","10","packB","1","840","14909120","270672912","17734932","40940631","3020598","98113047","4556387","0","4469486","5456"
"FAPP-cpupa","Thread","0","0","11","packB","1","840","14953216","271572204","17214091","42844218","2698182","104334117","4328413","0","4571892","3778"
"FAPP-cpupa","Thread","0","0","12","packB","1","840","15183200","275942079","18618427","27597139","2707547","188726990","5397602","0","137815","3807"
"FAPP-cpupa","Thread","0","0","13","packB","1","840","15151904","275583723","17748081","25995151","2448108","189775514","4896705","0","127507","3780"
"FAPP-cpupa","Thread","0","0","14","packB","1","840","15161440","275226781","17848987","28091588","2621516","187715187","4847663","0","119169","3778"
"FAPP-cpupa","Thread","0","0","15","packB","1","840","15124128","274873136","18265276","27908788","2547197","189127298","5197014","0","160945","3778"
"FAPP-cpupa","Thread","0","0","16","packB","1","840","15131072","274673097","18073836","26899291","2508971","189090075","5098987","0","129971","5476"
"FAPP-cpupa","Thread","0","0","17","packB","1","840","15150592","275756246","17927895","27728647","2511192","186199922","4901723","0","155582","3780"
"FAPP-cpupa","Thread","0","0","18","packB","1","840","15113984","274663289","18258707","27997950","2598246","186674001","5044340","0","146133","4531"
"FAPP-cpupa","Thread","0","0","19","packB","1","840","15179168","275645675","18333884","28966047","2570742","186340754","5155177","0","112732","5463"
