"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:49 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.739857","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.092143","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.124024","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8008","0x0198","0x0199","0x0139","0x0010","0x0012","-","-"
"FAPP-cpupa","Thread","0","0","6","kernel","1","840","11942464","211677448","453366919","837858","0","452201594","71974","7437398","0","0"
"FAPP-cpupa","Thread","0","0","7","kernel","1","840","12013920","213010009","453421967","828709","0","452256548","70123","7455921","0","0"
"FAPP-cpupa","Thread","0","0","8","kernel","1","840","11978848","212126924","453118059","844960","0","451952974","69331","7330649","0","0"
"FAPP-cpupa","Thread","0","0","9","kernel","1","840","12061568","213454553","453476771","839691","0","452311660","71088","7477581","0","0"
"FAPP-cpupa","Thread","0","0","10","kernel","1","840","11958560","211990538","453199485","836043","0","452034895","71901","7376692","0","0"
"FAPP-cpupa","Thread","0","0","11","kernel","1","840","11998336","212631302","453366846","834002","0","452201051","71204","7435850","0","0"
"FAPP-cpupa","Thread","0","0","12","kernel","1","840","11499904","202267119","453253034","845599","0","452088738","71742","7395030","0","0"
"FAPP-cpupa","Thread","0","0","13","kernel","1","840","11514688","202563474","453347226","847369","0","452182947","71027","7414358","0","0"
"FAPP-cpupa","Thread","0","0","14","kernel","1","840","11513952","202682607","453180353","836829","0","452015935","72333","7368289","0","0"
"FAPP-cpupa","Thread","0","0","15","kernel","1","840","11481984","201842900","453291166","834672","0","452126374","71295","7408654","0","0"
"FAPP-cpupa","Thread","0","0","16","kernel","1","840","11496384","202060737","453568976","842482","0","452404704","71167","7494996","0","0"
"FAPP-cpupa","Thread","0","0","17","kernel","1","840","11527904","202242925","453412557","841598","0","452248204","73967","7437947","0","0"
"FAPP-cpupa","Thread","0","0","18","kernel","1","840","11528480","202547581","453421020","844121","0","452256649","72473","7441250","0","0"
"FAPP-cpupa","Thread","0","0","19","kernel","1","840","11494496","201857850","453548291","835808","0","452384043","70957","7502505","0","0"
"FAPP-cpupa","Thread","0","0","20","kernel","1","840","11507520","202328260","453227773","846752","0","452063077","69324","7370810","0","0"
"FAPP-cpupa","Thread","0","0","21","kernel","1","840","11535744","202400389","453317947","837268","0","452153608","69964","7418579","0","0"
"FAPP-cpupa","Thread","0","0","22","kernel","1","840","11515808","202445175","453108648","848502","0","451943342","71616","7327309","0","0"
"FAPP-cpupa","Thread","0","0","23","kernel","1","840","11573888","203132311","453598899","841704","0","452433104","71300","7505513","0","0"
"FAPP-cpupa","Thread","0","0","24","kernel","1","840","11599296","203663568","453608970","851561","0","452443986","71841","7512029","0","0"
"FAPP-cpupa","Thread","0","0","25","kernel","1","840","11574240","203338004","453292381","841431","0","452127800","71970","7395979","0","0"
"FAPP-cpupa","Thread","0","0","26","kernel","1","840","11586304","203611606","453257849","845481","0","452092878","73139","7384347","0","0"
"FAPP-cpupa","Thread","0","0","27","kernel","1","840","11567296","203197470","453126961","837838","0","451961979","71803","7335643","0","0"
"FAPP-cpupa","Thread","0","0","28","kernel","1","840","11568928","202977984","453469973","844798","0","452305286","72955","7461546","0","0"
"FAPP-cpupa","Thread","0","0","29","kernel","1","840","11557952","202857165","453413784","844190","0","452249271","73562","7441292","0","0"
"FAPP-cpupa","Thread","0","0","30","kernel","1","840","11596608","203209235","453199801","837736","0","452035346","71722","7378303","0","0"
"FAPP-cpupa","Thread","0","0","31","kernel","1","840","11570688","203101824","453276117","841479","0","452111428","71240","7391003","0","0"
"FAPP-cpupa","Thread","0","0","32","kernel","1","840","11600960","203476068","453376099","836179","0","452211490","71203","7442233","0","0"
"FAPP-cpupa","Thread","0","0","33","kernel","1","840","11585600","203487006","453366811","836269","0","452201873","70870","7438921","0","0"
