"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:24 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.907638","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091276","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123657","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8010","0x8028","0x8034","0x0070","0x0071","0x8085","0x8086","0x8087"
"FAPP-cpupa","Thread","0","0","2","kernel","1","840","11996864","211567808","253532160","253532160","0","120548192","2390746","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","3","kernel","1","840","11977184","211340233","253532160","253532160","0","120548140","2390720","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","4","kernel","1","840","11937248","210696152","253532160","253532160","0","120538860","2383140","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","5","kernel","1","840","12009696","211792946","253532160","253532160","0","120539832","2383206","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","6","kernel","1","840","11934560","210590480","253532160","253532160","0","120539038","2383203","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","7","kernel","1","840","11983104","211422244","253532160","253532160","0","120538983","2383180","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","8","kernel","1","840","11996896","211667291","253532160","253532160","0","120555660","2393220","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","9","kernel","1","840","12030816","212464238","253532160","253532160","0","120538992","2383206","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","10","kernel","1","840","12029024","212134198","253532160","253532160","0","120539017","2383162","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","11","kernel","1","840","12116576","212929582","253532160","253532160","0","120564300","2400900","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","12","kernel","1","840","11574176","202700729","253532160","253532160","0","120539912","2383246","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","13","kernel","1","840","11552640","202617318","253532160","253532160","0","120539866","2383223","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","14","kernel","1","840","11563808","202582830","253532160","253532160","0","120548220","2390760","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","15","kernel","1","840","11559616","202277714","253532160","253532160","0","120564100","2400800","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","16","kernel","1","840","11598080","202972097","253532160","253532160","0","120571746","2403363","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","17","kernel","1","840","11591296","202931350","253532160","253532160","0","120539826","2383203","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","18","kernel","1","840","11608448","203100233","253532160","253532160","0","120539952","2383266","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","19","kernel","1","840","11621120","203437868","253532160","253532160","0","120555786","2393283","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","20","kernel","1","840","11571872","202699614","253532160","253532160","0","120548140","2390720","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","21","kernel","1","840","11613216","203113233","253532160","253532160","0","120548140","2390720","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","22","kernel","1","840","11585536","202644485","253532160","253532160","0","120539706","2383143","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","23","kernel","1","840","11655040","203460731","253532160","253532160","0","120539740","2383160","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","24","kernel","1","840","11657152","204237691","253532160","253532160","0","120546506","2390743","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","25","kernel","1","840","11645472","204011222","253532160","253532160","0","120546580","2390780","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","26","kernel","1","840","11634112","203987526","253532160","253532160","0","120562601","2400860","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","27","kernel","1","840","11674336","204657416","253532160","253532160","0","120554106","2393283","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","28","kernel","1","840","11642784","203649996","253532160","253532160","0","120554272","2393346","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","29","kernel","1","840","11654624","204277443","253532160","253532160","0","120546592","2390786","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","30","kernel","1","840","11641728","203946577","253532160","253532160","0","120538198","2383229","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","31","kernel","1","840","11663232","204099431","253532160","253532160","0","120538100","2383180","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","32","kernel","1","840","11670208","204055701","253532160","253532160","0","120538026","2383143","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","33","kernel","1","840","11692416","204875160","253532160","253532160","0","120538060","2383160","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","34","kernel","1","840","11675424","204671201","253532160","253532160","0","120538224","2383226","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","35","kernel","1","840","11650592","204172825","253532160","253532160","0","120546460","2390720","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","36","kernel","1","840","11640704","204198060","253532160","253532160","0","120548940","2390700","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","37","kernel","1","840","11660736","204414406","253532160","253532160","0","120556580","2393260","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","38","kernel","1","840","11661952","204517780","253532160","253532160","0","120540803","2383222","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","39","kernel","1","840","11639264","204288574","253532160","253532160","0","120556632","2393286","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","40","kernel","1","840","11654752","204656990","253532160","253532160","0","120540706","2383223","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","41","kernel","1","840","11687360","204840807","253532160","253532160","0","120556803","2393326","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","42","kernel","1","840","11651072","204352027","253532160","253532160","0","120540620","2383180","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","43","kernel","1","840","11660992","204308417","253532160","253532160","0","120549158","2390809","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","44","kernel","1","840","11653984","204017901","253532160","253532160","0","120549186","2390823","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","45","kernel","1","840","11698240","204802744","253532160","253532160","0","120556632","2393286","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","46","kernel","1","840","11713408","204682519","253532160","253532160","0","120540700","2383220","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","47","kernel","1","840","11726368","205027674","253532160","253532160","0","120540666","2383203","118184220","1051680","298200"
"FAPP-cpupa","Process","0","0","-","packB","1","40320","722477760","13097825662","0","0","0","369394866","247741434","194645275","193985035","130929120"
"FAPP-cpupa","Thread","0","0","0","packB","1","840","14964768","272539120","0","0","0","73950774","5169110","4065190","4051750","2727690"
"FAPP-cpupa","Thread","0","0","1","packB","1","840","14998848","272931265","0","0","0","5872969","5173207","4065190","4051330","2727690"
"FAPP-cpupa","Thread","0","0","2","packB","1","840","14996384","272407959","0","0","0","5873757","5173224","4065190","4051330","2727690"
"FAPP-cpupa","Thread","0","0","3","packB","1","840","15003072","272442009","0","0","0","5873879","5173250","4065190","4051330","2727690"
"FAPP-cpupa","Thread","0","0","4","packB","1","840","14998976","272725122","0","0","0","5866630","5167197","4065190","4051750","2727690"
"FAPP-cpupa","Thread","0","0","5","packB","1","840","14856576","269548680","0","0","0","5865368","5165664","4065190","4051330","2727690"
"FAPP-cpupa","Thread","0","0","6","packB","1","840","14927040","271008400","0","0","0","5864570","5165687","4065190","4051330","2727690"
"FAPP-cpupa","Thread","0","0","7","packB","1","840","14968256","271373284","0","0","0","5864539","5165670","4065190","4051330","2727690"
"FAPP-cpupa","Thread","0","0","8","packB","1","840","14936576","270972021","0","0","0","5883266","5177237","4065190","4051750","2727690"
"FAPP-cpupa","Thread","0","0","9","packB","1","840","14887168","270419233","0","0","0","5864523","5165667","4065190","4051330","2727690"
"FAPP-cpupa","Thread","0","0","10","packB","1","840","14914240","270496210","0","0","0","5864487","5165647","4065190","4051330","2727690"
"FAPP-cpupa","Thread","0","0","11","packB","1","840","14951808","270574704","0","0","0","5889683","5183287","4065190","4051330","2727690"
"FAPP-cpupa","Thread","0","0","12","packB","1","840","15093984","274156909","0","0","0","17251819","5167704","4065190","4051750","2727690"
"FAPP-cpupa","Thread","0","0","13","packB","1","840","15146720","275454006","0","0","0","5865363","5165667","4065190","4051330","2727690"
"FAPP-cpupa","Thread","0","0","14","packB","1","840","15099680","274598360","0","0","0","5873717","5173204","4065190","4051330","2727690"
"FAPP-cpupa","Thread","0","0","15","packB","1","840","15126112","274861314","0","0","0","5889763","5183327","4065190","4051330","2727690"
"FAPP-cpupa","Thread","0","0","16","packB","1","840","15142080","274828750","0","0","0","5884007","5172154","4050070","4036630","2727690"
"FAPP-cpupa","Thread","0","0","17","packB","1","840","15154976","275276311","0","0","0","5850283","5150567","4050070","4036210","2727690"
"FAPP-cpupa","Thread","0","0","18","packB","1","840","15102720","273997343","0","0","0","5850117","5150484","4050070","4036210","2727690"
"FAPP-cpupa","Thread","0","0","19","packB","1","840","15132928","274778538","0","0","0","5866117","5160584","4050070","4036210","2727690"
"FAPP-cpupa","Thread","0","0","20","packB","1","840","15156096","275258948","0","0","0","5860619","5159620","4050070","4036630","2727690"
"FAPP-cpupa","Thread","0","0","21","packB","1","840","15124064","274090606","0","0","0","5858683","5158127","4050070","4036210","2727690"
"FAPP-cpupa","Thread","0","0","22","packB","1","840","15073472","273256860","0","0","0","5850237","5150544","4050070","4036210","2727690"
"FAPP-cpupa","Thread","0","0","23","packB","1","840","15136544","274054304","0","0","0","5850277","5150564","4050070","4036210","2727690"
"FAPP-cpupa","Thread","0","0","24","packB","1","840","15073728","273152258","0","0","0","9903458","5160163","4050065","4036625","2727690"
"FAPP-cpupa","Thread","0","0","25","packB","1","840","15070496","273056691","0","0","0","5856963","5158107","4050070","4036210","2727690"
"FAPP-cpupa","Thread","0","0","26","packB","1","840","15052992","273046315","0","0","0","5872877","5168164","4050070","4036210","2727690"
"FAPP-cpupa","Thread","0","0","27","packB","1","840","15062112","272942113","0","0","0","5864477","5160604","4050070","4036210","2727690"
"FAPP-cpupa","Thread","0","0","28","packB","1","840","15078208","272855287","0","0","0","5866413","5162097","4050070","4036630","2727690"
"FAPP-cpupa","Thread","0","0","29","packB","1","840","15075968","273206371","0","0","0","5857009","5158130","4050070","4036210","2727690"
"FAPP-cpupa","Thread","0","0","30","packB","1","840","15067008","272899656","0","0","0","5848517","5150524","4050070","4036210","2727690"
"FAPP-cpupa","Thread","0","0","31","packB","1","840","15066912","272730629","0","0","0","5848655","5150593","4050070","4036210","2727690"
"FAPP-cpupa","Thread","0","0","32","packB","1","840","15061568","272375566","0","0","0","5850499","5152040","4050070","4036630","2727690"
