"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:56 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","0","12","kernel","1","840","11495392","201818592","8214621","0","0","5125046","0","0","1140557","0"
"FAPP-cpupa","Thread","0","0","13","kernel","1","840","11539360","202664286","8208529","0","0","3161497","0","0","1127995","0"
"FAPP-cpupa","Thread","0","0","14","kernel","1","840","11530272","202368042","8210642","0","0","1816242","0","0","1125010","0"
"FAPP-cpupa","Thread","0","0","15","kernel","1","840","11507360","201590150","8207119","0","0","1447856","0","0","1167239","0"
"FAPP-cpupa","Thread","0","0","16","kernel","1","840","11540544","202293342","8194617","0","0","3246541","0","0","1171525","0"
"FAPP-cpupa","Thread","0","0","17","kernel","1","840","11525472","202400604","8190341","0","0","3781673","0","0","1165685","0"
"FAPP-cpupa","Thread","0","0","18","kernel","1","840","11538272","202470224","8195784","0","0","2183498","0","0","1170721","0"
"FAPP-cpupa","Thread","0","0","19","kernel","1","840","11577696","203032685","8192486","0","0","2153577","0","0","1186345","0"
"FAPP-cpupa","Thread","0","0","20","kernel","1","840","11553408","202687267","8195963","0","0","4725155","0","0","1182907","0"
"FAPP-cpupa","Thread","0","0","21","kernel","1","840","11596736","202538165","8188493","0","0","1320706","0","0","1192043","0"
"FAPP-cpupa","Thread","0","0","22","kernel","1","840","11563072","202678886","8197409","0","0","3062086","0","0","1174551","0"
"FAPP-cpupa","Thread","0","0","23","kernel","1","840","11568160","202246784","8197696","0","0","2254483","0","0","1198114","0"
"FAPP-cpupa","Thread","0","0","24","kernel","1","840","11575040","203126412","8204911","0","0","3308175","0","0","1190083","0"
"FAPP-cpupa","Thread","0","0","25","kernel","1","840","11563744","202909492","8199886","0","0","2625391","0","0","1179599","0"
"FAPP-cpupa","Thread","0","0","26","kernel","1","840","11578496","203045056","8206928","0","0","2020115","0","0","1175514","0"
"FAPP-cpupa","Thread","0","0","27","kernel","1","840","11592000","203422018","8202770","0","0","3061107","0","0","1199050","0"
"FAPP-cpupa","Thread","0","0","28","kernel","1","840","11558304","203066124","8183910","0","0","3984883","0","0","1183852","0"
"FAPP-cpupa","Thread","0","0","29","kernel","1","840","11593344","203580934","8181518","0","0","3158233","0","0","1181553","0"
"FAPP-cpupa","Thread","0","0","30","kernel","1","840","11597184","203503600","8188069","0","0","1726063","0","0","1169032","0"
"FAPP-cpupa","Thread","0","0","31","kernel","1","840","11600480","203529457","8180987","0","0","2248749","0","0","1195343","0"
"FAPP-cpupa","Thread","0","0","32","kernel","1","840","11577248","203193500","8188892","0","0","3732640","0","0","1184165","0"
"FAPP-cpupa","Thread","0","0","33","kernel","1","840","11646048","203986430","8185993","0","0","1806790","0","0","1177362","0"
"FAPP-cpupa","Thread","0","0","34","kernel","1","840","11610592","203665030","8184901","0","0","2925683","0","0","1172298","0"
"FAPP-cpupa","Thread","0","0","35","kernel","1","840","11614144","203615006","8184266","0","0","3184892","0","0","1187790","0"
"FAPP-cpupa","Thread","0","0","36","kernel","1","840","11601408","203689252","8192272","0","0","1813458","0","0","1188131","0"
"FAPP-cpupa","Thread","0","0","37","kernel","1","840","11570432","203398548","8184311","0","0","5179883","0","0","1156981","0"
"FAPP-cpupa","Thread","0","0","38","kernel","1","840","11629792","204499754","8191126","0","0","2576015","0","0","1170314","0"
"FAPP-cpupa","Thread","0","0","39","kernel","1","840","11613024","203604262","8187687","0","0","1229798","0","0","1190016","0"
"FAPP-cpupa","Thread","0","0","40","kernel","1","840","11618688","204017771","8187060","0","0","3540646","0","0","1179295","0"
"FAPP-cpupa","Thread","0","0","41","kernel","1","840","11638976","204447038","8182617","0","0","3289312","0","0","1169737","0"
"FAPP-cpupa","Thread","0","0","42","kernel","1","840","11602336","203732688","8185263","0","0","1738691","0","0","1170792","0"
"FAPP-cpupa","Thread","0","0","43","kernel","1","840","11648384","204585056","8184261","0","0","2019783","0","0","1185028","0"
"FAPP-cpupa","Thread","0","0","44","kernel","1","840","11615808","204018072","8194232","0","0","4695890","0","0","1171772","0"
