"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:17:07 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-cpupa","Thread","0","0","32","kernel","1","840","11690656","204330229","23227614","0","0","3404915","0","0","23211107","51610"
"FAPP-cpupa","Thread","0","0","33","kernel","1","840","11719968","205029006","23233459","0","0","3404996","0","0","23198747","51611"
"FAPP-cpupa","Thread","0","0","34","kernel","1","840","11669504","204332418","23238302","0","0","3397078","0","0","23242313","51643"
"FAPP-cpupa","Thread","0","0","35","kernel","1","840","11703072","204904277","23236100","0","0","3396918","0","0","23217776","51646"
"FAPP-cpupa","Thread","0","0","36","kernel","1","840","11656896","204455410","23271628","0","0","3366621","0","0","23328148","2938"
"FAPP-cpupa","Thread","0","0","37","kernel","1","840","11624096","203780452","23270231","0","0","3352755","0","0","23324336","2725"
"FAPP-cpupa","Thread","0","0","38","kernel","1","840","11683424","204788370","23305474","0","0","3366546","0","0","23346373","2941"
"FAPP-cpupa","Thread","0","0","39","kernel","1","840","11674176","204753958","23272208","0","0","3366909","0","0","23327377","2942"
"FAPP-cpupa","Thread","0","0","40","kernel","1","840","11649920","204457394","23272405","0","0","3367692","0","0","23329528","2949"
"FAPP-cpupa","Thread","0","0","41","kernel","1","840","11678752","204561658","23269646","0","0","3367116","0","0","23322326","2937"
"FAPP-cpupa","Thread","0","0","42","kernel","1","840","11651712","204252229","23261123","0","0","3366937","0","0","23319936","2934"
"FAPP-cpupa","Thread","0","0","43","kernel","1","840","11665984","204571993","23266701","0","0","3353333","0","0","23321656","2723"
"FAPP-cpupa","Thread","0","0","44","kernel","1","840","11678144","204824806","23269973","0","0","3367042","0","0","23323374","2936"
"FAPP-cpupa","Thread","0","0","45","kernel","1","840","11672000","204474994","23268912","0","0","3367673","0","0","23317725","2955"
"FAPP-cpupa","Thread","0","0","46","kernel","1","840","11669792","204406309","23273692","0","0","3353236","0","0","23318460","2723"
"FAPP-cpupa","Thread","0","0","47","kernel","1","840","11694880","204858062","23280467","0","0","3353068","0","0","23315194","2722"
