"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:17:00 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.886844","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091305","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123656","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x02b2","0x02b1","0x02b0","0x02b8","0x02b9","0x0260","0x0261","-"
"FAPP-cpupa","Thread","0","0","6","kernel","1","840","11855712","209638098","0","0","0","1090847828","920811786","68231813","57577148","0"
"FAPP-cpupa","Thread","0","0","7","kernel","1","840","11938592","210605072","0","0","0","1090672706","921338068","68220980","57609934","0"
"FAPP-cpupa","Thread","0","0","8","kernel","1","840","11958400","210986842","0","0","0","1090442874","921751258","68210095","57632146","0"
"FAPP-cpupa","Thread","0","0","9","kernel","1","840","11984800","211940397","0","0","0","1092058844","919486536","68306922","57494847","0"
"FAPP-cpupa","Thread","0","0","10","kernel","1","840","11942016","211091688","0","0","0","1091883714","920669602","68298870","57565709","0"
"FAPP-cpupa","Thread","0","0","11","kernel","1","840","11995328","212177540","0","0","0","1090835828","920660054","68237234","57561369","0"
"FAPP-cpupa","Thread","0","0","12","kernel","1","840","11538944","202149234","0","0","0","1090416302","921738776","68197836","57642052","0"
"FAPP-cpupa","Thread","0","0","13","kernel","1","840","11529344","202680954","0","0","0","1089378064","922527418","68133652","57691480","0"
"FAPP-cpupa","Thread","0","0","14","kernel","1","840","11519936","202123528","0","0","0","1088474734","923864924","68086794","57764442","0"
"FAPP-cpupa","Thread","0","0","15","kernel","1","840","11519936","202396448","0","0","0","1089019994","923278716","68117546","57730437","0"
"FAPP-cpupa","Thread","0","0","16","kernel","1","840","11522176","202235427","0","0","0","1086500781","925259058","67962891","57860351","0"
"FAPP-cpupa","Thread","0","0","17","kernel","1","840","11534624","202439134","0","0","0","1090326675","922450993","68204366","57683175","0"
"FAPP-cpupa","Thread","0","0","18","kernel","1","840","11539616","202661907","0","0","0","1086819834","924704129","67983968","57824434","0"
"FAPP-cpupa","Thread","0","0","19","kernel","1","840","11531392","202119160","0","0","0","1086432302","925119958","67963752","57846330","0"
"FAPP-cpupa","Thread","0","0","20","kernel","1","840","11526176","202037138","0","0","0","1086658354","925517723","67967975","57881243","0"
"FAPP-cpupa","Thread","0","0","21","kernel","1","840","11498208","201772176","0","0","0","1085437157","926302144","67896438","57925421","0"
"FAPP-cpupa","Thread","0","0","22","kernel","1","840","11536800","202065754","0","0","0","1086381860","926018569","67950268","57912937","0"
"FAPP-cpupa","Thread","0","0","23","kernel","1","840","11579200","202527039","0","0","0","1086514090","925484483","67959271","57878862","0"
"FAPP-cpupa","Thread","0","0","24","kernel","1","840","11563488","203501396","0","0","0","1087934454","924170509","68051767","57793035","0"
"FAPP-cpupa","Thread","0","0","25","kernel","1","840","11580416","203205308","0","0","0","1086406646","924933531","67959085","57838672","0"
"FAPP-cpupa","Thread","0","0","26","kernel","1","840","11603968","203881266","0","0","0","1087334026","924690349","68014780","57824927","0"
"FAPP-cpupa","Thread","0","0","27","kernel","1","840","11587104","203144692","0","0","0","1087613731","924699313","68035115","57822664","0"
"FAPP-cpupa","Thread","0","0","28","kernel","1","840","11566528","203181190","0","0","0","1086542689","925840066","67966589","57895578","0"
"FAPP-cpupa","Thread","0","0","29","kernel","1","840","11600032","203406430","0","0","0","1089787373","922747043","68174587","57696226","0"
"FAPP-cpupa","Thread","0","0","30","kernel","1","840","11611520","203583008","0","0","0","1086460056","925330380","67966011","57859049","0"
"FAPP-cpupa","Thread","0","0","31","kernel","1","840","11590752","203298099","0","0","0","1086858149","925064597","67991708","57841732","0"
"FAPP-cpupa","Thread","0","0","32","kernel","1","840","11576352","202782467","0","0","0","1086383306","925227117","67950466","57863689","0"
