"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:14 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.888921","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091581","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123928","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0190","0x0191","0x0184","0x0186","0x0189","0x018c","0x018d","0x018e"
"FAPP-cpupa","Thread","0","0","3","kernel","1","840","12043136","212671954","79228545","14173626","70335183","1563","3127087","4279666","0","0"
"FAPP-cpupa","Thread","0","0","4","kernel","1","840","11948672","211230193","77779644","14218358","69182381","3028","2484188","4811639","0","0"
"FAPP-cpupa","Thread","0","0","5","kernel","1","840","12038560","212527898","78987066","14214547","70147812","2459","2986460","4440179","0","0"
"FAPP-cpupa","Thread","0","0","6","kernel","1","840","12001088","211757824","78251269","14139816","69483133","2372","3008932","4340051","0","0"
"FAPP-cpupa","Thread","0","0","7","kernel","1","840","12028896","212560455","78931819","14220780","70223058","2530","2957064","4256312","0","0"
"FAPP-cpupa","Thread","0","0","8","kernel","1","840","12072928","213133803","79647900","14198789","70748950","2510","2972915","4484112","0","0"
"FAPP-cpupa","Thread","0","0","9","kernel","1","840","12108352","213872956","80317476","14192881","71702663","1849","2869284","4384556","0","0"
"FAPP-cpupa","Thread","0","0","10","kernel","1","840","12089824","213323755","79823285","14204787","70909006","2220","2990988","4572209","0","0"
"FAPP-cpupa","Thread","0","0","11","kernel","1","840","12127008","214178111","80725540","14183427","72000134","2104","2899063","4421368","0","0"
"FAPP-cpupa","Thread","0","0","12","kernel","1","840","11527264","202054192","68250365","14390997","59287792","83750","1870204","5624503","0","0"
"FAPP-cpupa","Thread","0","0","13","kernel","1","840","11548416","201844326","68072490","14318162","59443052","19251","2418785","4717938","0","0"
"FAPP-cpupa","Thread","0","0","14","kernel","1","840","11551424","202378361","68719644","14312754","59612749","27498","2257576","5356653","0","0"
"FAPP-cpupa","Thread","0","0","15","kernel","1","840","11567328","202417472","68721156","14316277","60344139","9179","2345605","4672467","0","0"
"FAPP-cpupa","Thread","0","0","16","kernel","1","840","11557184","202860677","69262988","14358023","60808122","60658","1929326","5239842","0","0"
"FAPP-cpupa","Thread","0","0","17","kernel","1","840","11608416","203626969","69867991","14376661","61377691","35162","2300421","4846324","0","0"
"FAPP-cpupa","Thread","0","0","18","kernel","1","840","11577280","202892960","69228291","14340387","60861794","21704","2362186","4538635","0","0"
"FAPP-cpupa","Thread","0","0","19","kernel","1","840","11610816","203511204","69785145","14368957","61758092","25172","2306210","4403896","0","0"
"FAPP-cpupa","Thread","0","0","20","kernel","1","840","11629664","203432969","69737679","14427495","61671573","27811","2176315","4579208","0","0"
"FAPP-cpupa","Thread","0","0","21","kernel","1","840","11600928","203176020","69482824","14348744","61294486","42428","2151656","4625881","0","0"
"FAPP-cpupa","Thread","0","0","22","kernel","1","840","11608512","203359797","69652929","14351182","61352693","31388","2237515","4589365","0","0"
"FAPP-cpupa","Thread","0","0","23","kernel","1","840","11666368","204070827","70308727","14424793","62173168","24543","2261379","4540065","0","0"
"FAPP-cpupa","Thread","0","0","24","kernel","1","840","11667968","204496976","70588673","14403536","61668688","42756","2248413","5185776","0","0"
"FAPP-cpupa","Thread","0","0","25","kernel","1","840","11665824","204520140","70834350","14350174","61525450","43979","2135230","5753466","0","0"
"FAPP-cpupa","Thread","0","0","26","kernel","1","840","11679968","204489385","70848090","14277235","61888482","24974","2344174","5173816","0","0"
"FAPP-cpupa","Thread","0","0","27","kernel","1","840","11672512","204600686","70772163","14383984","61872858","20286","2346726","5092411","0","0"
"FAPP-cpupa","Thread","0","0","28","kernel","1","840","11673536","204923384","71118230","14416717","62298479","28331","2330176","5036843","0","0"
"FAPP-cpupa","Thread","0","0","29","kernel","1","840","11677312","204620139","70800933","14378297","61873830","24236","2369354","5084503","0","0"
"FAPP-cpupa","Thread","0","0","30","kernel","1","840","11700128","205046609","71258591","14391684","62348737","33850","2337580","5098305","0","0"
"FAPP-cpupa","Thread","0","0","31","kernel","1","840","11672128","204899808","71201376","14378251","62338988","28365","2244928","5163066","0","0"
"FAPP-cpupa","Thread","0","0","32","kernel","1","840","11732480","205143220","71293716","14462812","63024492","15283","2337764","4606327","0","0"
"FAPP-cpupa","Thread","0","0","33","kernel","1","840","11665152","204553576","70880030","14365331","62042494","51427","2060095","5326619","0","0"
"FAPP-cpupa","Thread","0","0","34","kernel","1","840","11723584","205166299","71241953","14400344","62719027","14600","2371864","4620076","0","0"
"FAPP-cpupa","Thread","0","0","35","kernel","1","840","11692896","204712959","70968268","14426900","62319208","42648","2082004","5158649","0","0"
