"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:42 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-cpupa","Thread","0","0","17","packB","1","840","15265632","277611501","20580","0","0","0","0","3360","0","3256023"
"FAPP-cpupa","Thread","0","0","18","packB","1","840","15267360","277585966","20580","0","0","0","0","3360","0","3235726"
"FAPP-cpupa","Thread","0","0","19","packB","1","840","15204544","276373247","20580","0","0","0","0","3360","0","3202137"
"FAPP-cpupa","Thread","0","0","20","packB","1","840","15216544","276547071","20580","0","0","0","0","3360","0","3114310"
"FAPP-cpupa","Thread","0","0","21","packB","1","840","15222336","276295714","20580","0","0","0","0","3360","0","3158208"
"FAPP-cpupa","Thread","0","0","22","packB","1","840","15242528","276334782","20580","0","0","0","0","3360","0","3238499"
"FAPP-cpupa","Thread","0","0","23","packB","1","840","15271168","276896030","20580","0","0","0","0","3360","0","3158942"
"FAPP-cpupa","Thread","0","0","24","packB","1","840","15158976","275000045","20580","0","0","0","0","3360","0","6912705"
"FAPP-cpupa","Thread","0","0","25","packB","1","840","15154656","275071694","20580","0","0","0","0","3360","0","3151734"
"FAPP-cpupa","Thread","0","0","26","packB","1","840","15212640","275822950","20580","0","0","0","0","3360","0","3250806"
"FAPP-cpupa","Thread","0","0","27","packB","1","840","15202240","275716342","20580","0","0","0","0","3360","0","3265892"
"FAPP-cpupa","Thread","0","0","28","packB","1","840","15211072","275775837","20580","0","0","0","0","3360","0","3147984"
"FAPP-cpupa","Thread","0","0","29","packB","1","840","15232192","276058701","20580","0","0","0","0","3360","0","3263626"
"FAPP-cpupa","Thread","0","0","30","packB","1","840","15142272","274593825","20580","0","0","0","0","3360","0","3136665"
"FAPP-cpupa","Thread","0","0","31","packB","1","840","15167840","274660853","20580","0","0","0","0","3360","0","3149151"
"FAPP-cpupa","Thread","0","0","32","packB","1","840","15228032","275446638","20580","0","0","0","0","3360","0","3228690"
"FAPP-cpupa","Thread","0","0","33","packB","1","840","15204768","275841446","20580","0","0","0","0","3360","0","3170040"
"FAPP-cpupa","Thread","0","0","34","packB","1","840","15162464","275049840","20580","0","0","0","0","3360","0","3192680"
"FAPP-cpupa","Thread","0","0","35","packB","1","840","15169952","274719428","20580","0","0","0","0","3360","0","3260033"
"FAPP-cpupa","Thread","0","0","36","packB","1","840","15121312","274134515","20580","0","0","0","0","3360","0","6562967"
"FAPP-cpupa","Thread","0","0","37","packB","1","840","15161216","275211262","20580","0","0","0","0","3360","0","3144754"
"FAPP-cpupa","Thread","0","0","38","packB","1","840","15185344","275392717","20580","0","0","0","0","3360","0","3165656"
"FAPP-cpupa","Thread","0","0","39","packB","1","840","15143264","274486704","20580","0","0","0","0","3360","0","3202611"
"FAPP-cpupa","Thread","0","0","40","packB","1","840","15208416","275646616","20580","0","0","0","0","3360","0","3283047"
"FAPP-cpupa","Thread","0","0","41","packB","1","840","15086496","273216934","20580","0","0","0","0","3360","0","3170125"
"FAPP-cpupa","Thread","0","0","42","packB","1","840","15123552","274098140","20580","0","0","0","0","3360","0","3212871"
"FAPP-cpupa","Thread","0","0","43","packB","1","840","15197376","275120779","20580","0","0","0","0","3360","0","3259005"
"FAPP-cpupa","Thread","0","0","44","packB","1","840","15141984","274372929","20580","0","0","0","0","3360","0","3175251"
"FAPP-cpupa","Thread","0","0","45","packB","1","840","15194688","275275586","20580","0","0","0","0","3360","0","3178610"
"FAPP-cpupa","Thread","0","0","46","packB","1","840","15132160","274154742","20580","0","0","0","0","3360","0","3129656"
"FAPP-cpupa","Thread","0","0","47","packB","1","840","15162304","274069105","20580","0","0","0","0","3360","0","3222670"
