"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:10 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.893105","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.092736","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123236","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x80c0","0x80c1","0x0017","0x0018","0x0325","0x0326","0x0121","0x8000"
"FAPP-cpupa","Thread","0","0","2","kernel","1","840","12072928","212848512","2028257280","0","923531","232595","45058","43381","450604614","372545460"
"FAPP-cpupa","Thread","0","0","3","kernel","1","840","12070848","213239825","2028257280","0","2052371","365489","76161","46458","450277854","372545460"
"FAPP-cpupa","Thread","0","0","4","kernel","1","840","11966112","211517643","2028257280","0","4361914","820377","167072","31854","450420505","372545460"
"FAPP-cpupa","Thread","0","0","5","kernel","1","840","12077248","213233870","2028257280","0","791395","191986","46988","21113","450453588","372545460"
"FAPP-cpupa","Thread","0","0","6","kernel","1","840","12027168","212402294","2028257280","0","2885240","550181","117038","30937","450448076","372545460"
"FAPP-cpupa","Thread","0","0","7","kernel","1","840","12093216","213534658","2028257280","0","1316132","263266","62051","22947","450294666","372545460"
"FAPP-cpupa","Thread","0","0","8","kernel","1","840","12092960","213475244","2028257280","0","2682840","541485","103369","27308","450650565","372545460"
"FAPP-cpupa","Thread","0","0","9","kernel","1","840","12101376","213834715","2028257280","0","3802990","685016","128755","23854","450457962","372545460"
"FAPP-cpupa","Thread","0","0","10","kernel","1","840","12123360","213958825","2028257280","0","1755938","387870","76836","22733","450781163","372545460"
"FAPP-cpupa","Thread","0","0","11","kernel","1","840","12174304","214930632","2028257280","0","1223219","271256","55279","20404","450262759","372545460"
"FAPP-cpupa","Thread","0","0","12","kernel","1","840","11547520","202723506","2028257280","0","4067169","740496","91115","33407","450352151","372545460"
"FAPP-cpupa","Thread","0","0","13","kernel","1","840","11572352","202850906","2028257280","0","2541323","593767","70289","34230","450752479","372545460"
"FAPP-cpupa","Thread","0","0","14","kernel","1","840","11573632","202712566","2028257280","0","2168159","380156","56963","31994","450318379","372545460"
"FAPP-cpupa","Thread","0","0","15","kernel","1","840","11575744","202368732","2028257280","0","688757","177850","45321","22258","450539841","372545460"
"FAPP-cpupa","Thread","0","0","16","kernel","1","840","11587744","202697510","2028257280","0","1118496","271951","47783","28987","450342882","372545460"
"FAPP-cpupa","Thread","0","0","17","kernel","1","840","11540096","202354657","2028257280","0","7166564","1310328","125983","33323","450235112","372545460"
"FAPP-cpupa","Thread","0","0","18","kernel","1","840","11577536","202389141","2028257280","0","528052","147565","41740","19578","450448060","372545460"
"FAPP-cpupa","Thread","0","0","19","kernel","1","840","11598176","202594106","2028257280","0","429059","109338","39222","20730","450685092","372545460"
"FAPP-cpupa","Thread","0","0","20","kernel","1","840","11650976","203720531","2028257280","0","1679868","396045","52990","22140","450564170","372545460"
"FAPP-cpupa","Thread","0","0","21","kernel","1","840","11651168","203812648","2028257280","0","1587516","384430","53629","25545","450619336","372545460"
"FAPP-cpupa","Thread","0","0","22","kernel","1","840","11604192","203239500","2028257280","0","3971571","610516","69341","26523","450259195","372545460"
"FAPP-cpupa","Thread","0","0","23","kernel","1","840","11628128","203335915","2028257280","0","2134600","487856","63464","27771","450484693","372545460"
"FAPP-cpupa","Thread","0","0","24","kernel","1","840","11660288","204169169","2028257280","0","1857081","406513","64827","35078","450615720","372545460"
"FAPP-cpupa","Thread","0","0","25","kernel","1","840","11654336","204308654","2028257280","0","3241600","569456","78900","36936","450399190","372545460"
"FAPP-cpupa","Thread","0","0","26","kernel","1","840","11664480","204558612","2028257280","0","2223628","414412","66699","32755","450347195","372545460"
"FAPP-cpupa","Thread","0","0","27","kernel","1","840","11652768","204357560","2028257280","0","2129790","457107","70197","35795","450725874","372545460"
"FAPP-cpupa","Thread","0","0","28","kernel","1","840","11637568","204003287","2028257280","0","3662496","711165","78083","37187","450565905","372545460"
"FAPP-cpupa","Thread","0","0","29","kernel","1","840","11673728","204262646","2028257280","0","2042670","412041","59942","32997","450273599","372545460"
"FAPP-cpupa","Thread","0","0","30","kernel","1","840","11672128","203841856","2028257280","0","891269","239261","43946","22823","450766117","372545460"
"FAPP-cpupa","Thread","0","0","31","kernel","1","840","11667776","204833687","2028257280","0","2690317","451018","62907","36316","450381386","372545460"
"FAPP-cpupa","Thread","0","0","32","kernel","1","840","11672192","204777792","2028257280","0","2695206","516631","59152","42699","450320053","372545460"
"FAPP-cpupa","Thread","0","0","33","kernel","1","840","11704416","205258966","2028257280","0","1495939","342275","56331","32251","450375133","372545460"
"FAPP-cpupa","Thread","0","0","34","kernel","1","840","11687680","204742590","2028257280","0","4105025","739244","101226","39612","450353445","372545460"
"FAPP-cpupa","Thread","0","0","35","kernel","1","840","11744000","205413663","2028257280","0","1192327","301245","52939","34836","450584794","372545460"
"FAPP-cpupa","Thread","0","0","36","kernel","1","840","11691744","205329023","2028257280","0","3130171","572753","78681","41173","450507562","372545460"
"FAPP-cpupa","Thread","0","0","37","kernel","1","840","11694784","204917718","2028257280","0","1150387","264291","48869","32418","450455865","372545460"
"FAPP-cpupa","Thread","0","0","38","kernel","1","840","11688960","204806506","2028257280","0","4175411","737751","80045","41344","450732816","372545460"
"FAPP-cpupa","Thread","0","0","39","kernel","1","840","11694496","204786996","2028257280","0","940043","213009","47261","32460","450590954","372545460"
"FAPP-cpupa","Thread","0","0","40","kernel","1","840","11692320","205309257","2028257280","0","3474305","597447","69993","37901","450243101","372545460"
"FAPP-cpupa","Thread","0","0","41","kernel","1","840","11736992","206028632","2028257280","0","2570248","513386","63774","33864","450332355","372545460"
"FAPP-cpupa","Thread","0","0","42","kernel","1","840","11719456","205684118","2028257280","0","2033867","428815","63274","34264","450279463","372545460"
"FAPP-cpupa","Thread","0","0","43","kernel","1","840","11723488","205735181","2028257280","0","1181478","258194","44055","29190","450362921","372545460"
"FAPP-cpupa","Thread","0","0","44","kernel","1","840","11750592","205655550","2028257280","0","1475001","353162","48491","25624","450461004","372545460"
"FAPP-cpupa","Thread","0","0","45","kernel","1","840","11748736","205741273","2028257280","0","3456643","687570","68522","33742","450594192","372545460"
"FAPP-cpupa","Thread","0","0","46","kernel","1","840","11790560","206254012","2028257280","0","1268748","305066","45182","24936","450399688","372545460"
"FAPP-cpupa","Thread","0","0","47","kernel","1","840","11704704","204949508","2028257280","0","3145361","573395","58514","31891","450516613","372545460"
"FAPP-cpupa","Process","0","0","-","packB","1","40320","724179680","13132473625","0","0","118773340","36764629","9275131","7763280","1890371216","379877400"
"FAPP-cpupa","Thread","0","0","0","packB","1","840","14954496","272011617","0","0","2533858","716572","265143","220507","238547498","7914270"
"FAPP-cpupa","Thread","0","0","1","packB","1","840","15033184","273485050","0","0","2820000","849307","294954","245196","33984302","7914060"
"FAPP-cpupa","Thread","0","0","2","packB","1","840","14979104","271825364","0","0","2387818","657882","253600","204269","34236355","7914060"
"FAPP-cpupa","Thread","0","0","3","packB","1","840","15016704","272916664","0","0","2610747","811766","261547","217962","33909252","7914060"
"FAPP-cpupa","Thread","0","0","4","packB","1","840","14997344","272671149","0","0","2726124","867426","176776","207330","34073810","7914270"
"FAPP-cpupa","Thread","0","0","5","packB","1","840","14950528","271313459","0","0","2098514","654017","120919","148290","34084327","7914060"
"FAPP-cpupa","Thread","0","0","6","packB","1","840","15025568","272926895","0","0","2569384","760436","154732","194936","34079546","7914060"
"FAPP-cpupa","Thread","0","0","7","packB","1","840","14988768","272166023","0","0","2232618","685142","137207","157316","33923529","7914060"
"FAPP-cpupa","Thread","0","0","8","packB","1","840","14913152","270775760","0","0","2456273","842208","145085","173767","34303040","7914270"
"FAPP-cpupa","Thread","0","0","9","packB","1","840","14925888","271080409","0","0","2366607","781794","151688","175446","34088156","7914060"
"FAPP-cpupa","Thread","0","0","10","packB","1","840","15009600","272495021","0","0","2470642","834724","144469","173551","34411430","7914060"
"FAPP-cpupa","Thread","0","0","11","packB","1","840","14962880","271585670","0","0","2450371","735776","163004","177037","33892188","7914060"
"FAPP-cpupa","Thread","0","0","12","packB","1","840","15131424","275444934","0","0","2353752","700288","186396","152528","64930611","7914270"
"FAPP-cpupa","Thread","0","0","13","packB","1","840","15137696","275238167","0","0","2584763","813742","199751","170569","34382089","7914060"
"FAPP-cpupa","Thread","0","0","14","packB","1","840","15195808","276160906","0","0","2396178","681139","184138","154881","33947780","7914060"
"FAPP-cpupa","Thread","0","0","15","packB","1","840","15158144","275007507","0","0","2688220","876735","194446","162341","34169421","7914060"
"FAPP-cpupa","Thread","0","0","16","packB","1","840","15139136","274738652","0","0","2340339","697970","183645","142192","33917573","7914270"
"FAPP-cpupa","Thread","0","0","17","packB","1","840","15166560","276192707","0","0","2527456","805741","193244","150162","33788283","7914060"
"FAPP-cpupa","Thread","0","0","18","packB","1","840","15206944","275813747","0","0","2293251","625928","173673","138738","34001092","7914060"
"FAPP-cpupa","Thread","0","0","19","packB","1","840","15219904","276043691","0","0","2571096","770035","199320","149171","34237649","7914060"
"FAPP-cpupa","Thread","0","0","20","packB","1","840","15083584","273257688","0","0","2392846","771137","181927","141422","34137928","7914270"
"FAPP-cpupa","Thread","0","0","21","packB","1","840","15191136","275539427","0","0","2448087","850609","187535","141310","34172920","7914060"
"FAPP-cpupa","Thread","0","0","22","packB","1","840","15126624","274444515","0","0","2481186","798099","186763","142826","33812439","7914060"
"FAPP-cpupa","Thread","0","0","23","packB","1","840","15175392","275069991","0","0","2540728","805726","187779","139282","34036939","7914060"
"FAPP-cpupa","Thread","0","0","24","packB","1","840","15159424","274449967","0","0","2372192","748667","202859","150572","45662637","7914270"
"FAPP-cpupa","Thread","0","0","25","packB","1","840","15099200","273717839","0","0","2519616","782748","210318","155625","33952921","7914060"
"FAPP-cpupa","Thread","0","0","26","packB","1","840","15124000","274274708","0","0","2417121","717727","196623","150286","33900348","7914060"
"FAPP-cpupa","Thread","0","0","27","packB","1","840","15089344","273507227","0","0","2551849","834237","206479","153108","34279674","7914060"
"FAPP-cpupa","Thread","0","0","28","packB","1","840","15044992","272481334","0","0","2355498","713713","188380","142990","34139792","7914270"
"FAPP-cpupa","Thread","0","0","29","packB","1","840","15163808","274585102","0","0","2468137","760514","192084","148424","33826808","7914060"
"FAPP-cpupa","Thread","0","0","30","packB","1","840","15176960","274191877","0","0","2307697","626080","179792","143202","34318158","7914060"
"FAPP-cpupa","Thread","0","0","31","packB","1","840","15109088","274139623","0","0","2585157","750529","210382","154030","33933718","7914060"
"FAPP-cpupa","Thread","0","0","32","packB","1","840","15069760","273266872","0","0","2416031","796041","190247","142921","33893659","7914270"
"FAPP-cpupa","Thread","0","0","33","packB","1","840","15035488","272066064","0","0","2425112","824183","192147","139292","33927193","7914060"
"FAPP-cpupa","Thread","0","0","34","packB","1","840","15157824","274628922","0","0","2531431","827170","196353","146135","33905956","7914060"
