"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:39 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.954251","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091603","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123728","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0049","0x0202","0x0059","0x0302","0x0005","0x002d","0x0001","0x0326"
"FAPP-cpupa","Thread","0","0","4","kernel","1","840","11976128","211112163","8387073","8174704","3224685","3225062","145824","1","124141","27726"
"FAPP-cpupa","Thread","0","0","5","kernel","1","840","12051936","212374338","8380725","8169665","1017996","1019627","141579","3","122761","24045"
"FAPP-cpupa","Thread","0","0","6","kernel","1","840","11959424","211228839","8387746","8174710","3411673","3412042","144973","2","122594","30450"
"FAPP-cpupa","Thread","0","0","7","kernel","1","840","12045120","211994725","8379236","8169455","1006154","1006533","141644","2","121714","19341"
"FAPP-cpupa","Thread","0","0","8","kernel","1","840","12076480","212639212","8384690","8173441","1385012","1385388","144842","2","122352","28485"
"FAPP-cpupa","Thread","0","0","9","kernel","1","840","12038784","212558478","8383979","8173063","3811598","3813025","144939","3","121636","25716"
"FAPP-cpupa","Thread","0","0","10","kernel","1","840","12071104","213000729","8387433","8174471","1939420","1939784","141568","2","120475","28155"
"FAPP-cpupa","Thread","0","0","11","kernel","1","840","12112448","213736998","8381985","8171749","1694211","1695691","147894","2","122013","29459"
"FAPP-cpupa","Thread","0","0","12","kernel","1","840","11532544","202130705","8399701","8188059","883767","884145","150706","2","122657","29981"
"FAPP-cpupa","Thread","0","0","13","kernel","1","840","11504000","201716188","8378111","8166490","6376854","6377197","144080","3","120765","31222"
"FAPP-cpupa","Thread","0","0","14","kernel","1","840","11529472","201609072","8392271","8178891","583811","584176","145734","2","122472","26926"
"FAPP-cpupa","Thread","0","0","15","kernel","1","840","11528096","201839978","8386137","8177862","925261","926898","147948","2","122221","28268"
"FAPP-cpupa","Thread","0","0","16","kernel","1","840","11538016","201942478","8374478","8159727","2902821","2903188","146672","2","122822","27989"
"FAPP-cpupa","Thread","0","0","17","kernel","1","840","11581504","202476177","8370380","8157950","1398138","1398520","144594","3","120641","23616"
"FAPP-cpupa","Thread","0","0","18","kernel","1","840","11597760","202523171","8379490","8163863","934427","936084","146682","2","121382","20647"
"FAPP-cpupa","Thread","0","0","19","kernel","1","840","11536544","201890137","8365947","8155803","3446264","3446631","141668","2","120599","26507"
"FAPP-cpupa","Thread","0","0","20","kernel","1","840","11622816","202876954","8379815","8168524","1450711","1451088","144510","2","123538","26776"
"FAPP-cpupa","Thread","0","0","21","kernel","1","840","11597408","202975846","8366264","8155650","2325244","2326572","141591","3","119725","30116"
"FAPP-cpupa","Thread","0","0","22","kernel","1","840","11578272","202515890","8371897","8158883","3016806","3017181","145793","2","121491","31919"
"FAPP-cpupa","Thread","0","0","23","kernel","1","840","11584192","202755977","8369154","8161944","2045262","2045631","145393","2","123006","22962"
"FAPP-cpupa","Thread","0","0","24","kernel","1","840","11665120","204239274","8381525","8169448","2522663","2523018","144516","2","121854","38649"
"FAPP-cpupa","Thread","0","0","25","kernel","1","840","11676512","204437042","8378005","8166521","1022858","1023210","140750","3","122802","32087"
"FAPP-cpupa","Thread","0","0","26","kernel","1","840","11663136","204560896","8381502","8168881","2113297","2114977","145777","2","123858","39072"
"FAPP-cpupa","Thread","0","0","27","kernel","1","840","11662656","204378032","8376055","8166707","3124492","3126098","145271","2","122951","40367"
"FAPP-cpupa","Thread","0","0","28","kernel","1","840","11666912","204224207","8364762","8152257","1294119","1295725","144372","2","123722","31493"
"FAPP-cpupa","Thread","0","0","29","kernel","1","840","11678624","204371153","8359474","8148552","1061272","1062922","144595","3","122483","27872"
"FAPP-cpupa","Thread","0","0","30","kernel","1","840","11678144","204685272","8366015","8152265","1606423","1606766","155882","2","124257","29853"
"FAPP-cpupa","Thread","0","0","31","kernel","1","840","11629728","204131276","8356637","8148344","4767336","4768993","148416","2","123123","37242"
"FAPP-cpupa","Thread","0","0","32","kernel","1","840","11674496","204650424","8367638","8157239","1341598","1341964","144994","2","124511","33782"
"FAPP-cpupa","Thread","0","0","33","kernel","1","840","11712800","204846224","8356672","8145387","1336106","1337748","148304","3","122279","31890"
"FAPP-cpupa","Thread","0","0","34","kernel","1","840","11647040","204255007","8364228","8151289","3698148","3699730","143321","2","122207","37550"
"FAPP-cpupa","Thread","0","0","35","kernel","1","840","11692512","204631793","8356280","8147754","2498850","2499211","147089","2","123223","34183"
"FAPP-cpupa","Thread","0","0","36","kernel","1","840","11647776","204002682","8370495","8156790","1125678","1126044","147049","2","122999","34986"
"FAPP-cpupa","Thread","0","0","37","kernel","1","840","11655392","204652954","8368166","8156413","1164580","1164938","145424","3","121404","40627"
"FAPP-cpupa","Thread","0","0","38","kernel","1","840","11656224","204403829","8365193","8152268","1787523","1789136","139497","2","121650","37879"
"FAPP-cpupa","Thread","0","0","39","kernel","1","840","11642528","204299258","8362558","8151000","4680618","4680982","147497","2","121550","44739"
"FAPP-cpupa","Thread","0","0","40","kernel","1","840","11653504","204332069","8360459","8147138","1891385","1893034","148082","2","120553","33228"
"FAPP-cpupa","Thread","0","0","41","kernel","1","840","11693536","204784764","8355398","8146302","1626831","1627196","145196","3","123091","28838"
"FAPP-cpupa","Thread","0","0","42","kernel","1","840","11641344","204032350","8365818","8152084","1440227","1440572","145155","2","120612","28960"
"FAPP-cpupa","Thread","0","0","43","kernel","1","840","11662912","204646066","8353666","8143927","3730513","3730876","147586","2","123006","34163"
"FAPP-cpupa","Thread","0","0","44","kernel","1","840","11633184","204061256","8367975","8156314","3575252","3576668","145890","2","120819","34078"
"FAPP-cpupa","Thread","0","0","45","kernel","1","840","11700352","204879461","8361849","8150935","1620426","1620781","146610","3","121508","30572"
"FAPP-cpupa","Thread","0","0","46","kernel","1","840","11702336","205049392","8372265","8158521","1890470","1891966","143795","2","122947","31121"
"FAPP-cpupa","Thread","0","0","47","kernel","1","840","11697152","204818710","8369433","8159343","1771505","1773036","146649","2","121596","29787"
"FAPP-cpupa","Process","0","0","-","packB","1","40320","723530976","13117405049","50981809","19165650","50516521","46945392","6757931","1014","5039310","7814384"
"FAPP-cpupa","Thread","0","0","0","packB","1","840","14953472","272321345","999237","191990","962097","685315","139054","17","103251","221870"
"FAPP-cpupa","Thread","0","0","1","packB","1","840","15012960","273380105","1032786","448761","1253879","994145","139622","21","98978","237020"
"FAPP-cpupa","Thread","0","0","2","packB","1","840","15019456","273111949","998821","190654","935514","653050","140041","21","103822","207007"
"FAPP-cpupa","Thread","0","0","3","packB","1","840","14975104","271773550","1026362","440366","1087174","780127","136428","21","101526","211612"
"FAPP-cpupa","Thread","0","0","4","packB","1","840","14949088","271319228","1077681","496842","1270584","1216954","140983","22","105726","206337"
"FAPP-cpupa","Thread","0","0","5","packB","1","840","14989696","271951316","1046570","257956","772126","730253","136591","22","103498","153557"
