"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:17:03 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.858072","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.092290","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123734","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0309","0x0396","0x0370","0x0121","0x0318","0x0319","0x031a","0x031b"
"FAPP-cpupa","Thread","0","0","29","kernel","1","840","11660352","204194128","28062917","753326","386257","450394454","2493911","402212","3559510","189095"
"FAPP-cpupa","Thread","0","0","30","kernel","1","840","11688160","203936597","28046565","752384","397039","450679433","2489977","405876","3545739","198344"
"FAPP-cpupa","Thread","0","0","31","kernel","1","840","11662272","204360750","28062234","753385","387631","450400185","2493087","402890","3559363","190951"
"FAPP-cpupa","Thread","0","0","32","kernel","1","840","11678016","204290738","28083655","753945","396901","450738531","2495414","407231","3558968","200663"
"FAPP-cpupa","Thread","0","0","33","kernel","1","840","11704000","204620076","28077495","754455","396183","450482426","2493462","407167","3558743","199843"
"FAPP-cpupa","Thread","0","0","34","kernel","1","840","11668256","204356600","28077277","754176","391196","450477465","2495320","404634","3559307","195729"
"FAPP-cpupa","Thread","0","0","35","kernel","1","840","11738528","205090763","28087495","755908","405949","450726175","2494889","410632","3558778","210166"
"FAPP-cpupa","Thread","0","0","36","kernel","1","840","11685568","205472938","27881708","702251","366912","450242335","2550891","7229","299860","3224150"
"FAPP-cpupa","Thread","0","0","37","kernel","1","840","11689888","205607788","27880112","702425","366424","450279618","2550820","7221","299919","3225383"
"FAPP-cpupa","Thread","0","0","38","kernel","1","840","11688224","204947254","27842351","698347","357043","450510146","2548289","7144","299239","3211308"
"FAPP-cpupa","Thread","0","0","39","kernel","1","840","11676256","204181306","27889358","703150","370441","450683389","2549323","7123","299592","3224442"
"FAPP-cpupa","Thread","0","0","40","kernel","1","840","11693696","205117368","27882307","702247","366896","450677236","2550418","7141","299707","3225109"
"FAPP-cpupa","Thread","0","0","41","kernel","1","840","11736032","205545748","27904688","703722","375791","450769164","2549795","7199","299687","3222628"
"FAPP-cpupa","Thread","0","0","42","kernel","1","840","11687968","205112275","27884773","701725","368927","450215211","2550877","7172","299307","3210904"
"FAPP-cpupa","Thread","0","0","43","kernel","1","840","11714720","205418885","27896868","702723","372325","450470422","2551063","7183","299245","3210410"
"FAPP-cpupa","Thread","0","0","44","kernel","1","840","11701824","205134446","27870024","700968","369180","450341062","2548033","7068","299578","3224641"
"FAPP-cpupa","Thread","0","0","45","kernel","1","840","11694368","204731202","27869658","701017","370469","450332443","2548044","7119","299561","3224663"
"FAPP-cpupa","Thread","0","0","46","kernel","1","840","11737568","205506014","27904556","704022","375828","450252345","2550490","7255","299638","3224765"
"FAPP-cpupa","Thread","0","0","47","kernel","1","840","11740224","205667322","27881811","701762","375905","450243130","2549053","7192","299099","3210498"
"FAPP-cpupa","Process","0","0","-","packB","1","40320","725151232","13151772162","1425921248","110971579","92780515","1887669026","141284986","263951510","265386783","266865010"
"FAPP-cpupa","Thread","0","0","0","packB","1","840","14985312","272639598","29701672","2254309","2260265","235709301","10359696","13046116","13036864","13255359"
"FAPP-cpupa","Thread","0","0","1","packB","1","840","15039360","273894043","29728254","2256487","2267267","33882786","10373370","13068651","13039104","13255904"
"FAPP-cpupa","Thread","0","0","2","packB","1","840","15024896","273103350","29715291","2255194","2264148","34014623","10367269","13045327","13036495","13254140"
"FAPP-cpupa","Thread","0","0","3","packB","1","840","14963040","272117176","29673761","2254492","2264010","34005006","10362261","13048165","13033767","13250977"
"FAPP-cpupa","Thread","0","0","4","packB","1","840","15051456","273857290","29727267","2256355","2266076","33894696","10371262","13064617","13041009","13257246"
"FAPP-cpupa","Thread","0","0","5","packB","1","840","14909152","270672146","29641338","2248547","2261207","33949482","10360189","13033213","13035798","13249487"
