"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:21 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.901398","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091526","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123264","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0325","0x0003","0x0049","0x0017","0x0300","0x80ad","0x80ae","0x0326"
"FAPP-cpupa","Thread","0","0","6","kernel","1","840","11975232","211726706","145193","9873916","8387252","4055714","219426","0","0","27274"
"FAPP-cpupa","Thread","0","0","7","kernel","1","840","12080608","213127269","49079","9892414","8380120","817435","115613","0","0","20478"
"FAPP-cpupa","Thread","0","0","8","kernel","1","840","12057600","213077087","102940","9898841","8389690","2624901","169838","0","0","29848"
"FAPP-cpupa","Thread","0","0","9","kernel","1","840","12009760","212494512","138539","9904750","8382228","4216320","217305","0","0","21802"
"FAPP-cpupa","Thread","0","0","10","kernel","1","840","12106208","213410039","62339","9893578","8385015","1371885","125448","0","0","23341"
"FAPP-cpupa","Thread","0","0","11","kernel","1","840","12112352","213858870","55764","9911717","8380074","1222711","119967","0","0","22574"
"FAPP-cpupa","Thread","0","0","12","kernel","1","840","11547456","202538826","56812","9904359","8396193","2257977","166578","0","0","33641"
"FAPP-cpupa","Thread","0","0","13","kernel","1","840","11574368","202803692","50431","9912778","8390149","1018843","149395","0","0","27044"
"FAPP-cpupa","Thread","0","0","14","kernel","1","840","11520192","202208127","98239","9894284","8388964","4844818","230858","0","0","32520"
"FAPP-cpupa","Thread","0","0","15","kernel","1","840","11538176","202211646","54193","9912334","8388559","1355025","155356","0","0","26781"
"FAPP-cpupa","Thread","0","0","16","kernel","1","840","11539296","202499905","63653","9883097","8376439","2382819","140271","0","0","30198"
"FAPP-cpupa","Thread","0","0","17","kernel","1","840","11569312","203065716","66029","9890351","8370851","3146958","150063","0","0","31719"
"FAPP-cpupa","Thread","0","0","18","kernel","1","840","11571488","202725083","51936","9872532","8377525","1450898","121602","0","0","23218"
"FAPP-cpupa","Thread","0","0","19","kernel","1","840","11561312","202838744","65646","9892905","8370507","2283365","146544","0","0","27935"
"FAPP-cpupa","Thread","0","0","20","kernel","1","840","11525824","201953796","80629","9884254","8373822","4835438","168675","0","0","31687"
"FAPP-cpupa","Thread","0","0","21","kernel","1","840","11568416","202669278","46982","9897457","8371745","1178150","119949","0","0","23955"
"FAPP-cpupa","Thread","0","0","22","kernel","1","840","11557824","202423426","65258","9891682","8374029","2850309","141249","0","0","27216"
"FAPP-cpupa","Thread","0","0","23","kernel","1","840","11663552","203235628","38977","9913769","8372294","517413","119174","0","0","18758"
"FAPP-cpupa","Thread","0","0","24","kernel","1","840","11669888","204564953","73817","9899332","8383844","3277675","184846","0","0","38302"
"FAPP-cpupa","Thread","0","0","25","kernel","1","840","11657056","204009000","71984","9902855","8378600","2569405","174671","0","0","37731"
"FAPP-cpupa","Thread","0","0","26","kernel","1","840","11661984","204131924","54309","9899424","8385438","1480573","151940","0","0","31197"
"FAPP-cpupa","Thread","0","0","27","kernel","1","840","11658304","204169628","69707","9913190","8380138","2156089","173717","0","0","35535"
"FAPP-cpupa","Thread","0","0","28","kernel","1","840","11639328","203951296","66621","9880559","8366216","3198360","152566","0","0","33925"
"FAPP-cpupa","Thread","0","0","29","kernel","1","840","11671040","204346652","73776","9880704","8353225","3074038","156116","0","0","37739"
"FAPP-cpupa","Thread","0","0","30","kernel","1","840","11667584","204293218","47276","9865096","8366796","1616446","123844","0","0","29844"
"FAPP-cpupa","Thread","0","0","31","kernel","1","840","11685536","204460483","49456","9887375","8365331","1413445","122920","0","0","28572"
"FAPP-cpupa","Thread","0","0","32","kernel","1","840","11674752","204476593","61933","9875624","8367391","2567411","142609","0","0","32862"
"FAPP-cpupa","Thread","0","0","33","kernel","1","840","11692768","205033423","68617","9887924","8362083","3333600","146763","0","0","37578"
